remixid,artistid
OCR02979,11797
OCR02979,12932
OCR02963,12541
OCR00834,4508
OCR00871,4433
OCR00831,4507
OCR02898,12364
OCR02898,12064
OCR02389,4682
OCR02389,4726
OCR00376,4283
OCR00376,4291
OCR00261,4283
OCR01414,4649
OCR00863,4516
OCR00172,4292
OCR00652,4326
OCR00673,4443
OCR03411,8640
OCR03411,14337
OCR00386,4301
OCR02920,4540
OCR00410,4283
OCR02803,11785
OCR02067,4440
OCR01298,4484
OCR03338,11143
OCR00708,4335
OCR00077,4279
OCR01226,4630
OCR00916,4331
OCR00601,4283
OCR01288,4516
OCR00312,4315
OCR00273,4316
OCR01049,4571
OCR00408,4298
OCR00889,4381
OCR03277,10692
OCR01450,4628
OCR02777,13045
OCR00313,4318
OCR00313,4304
OCR01099,4562
OCR01099,4516
OCR01446,4640
OCR01446,4619
OCR00789,4403
OCR01314,4601
OCR03351,9847
OCR03224,14501
OCR01525,4725
OCR02189,5415
OCR01274,4388
OCR00988,4403
OCR00317,4328
OCR02253,5409
OCR02253,4793
OCR00804,4498
OCR00088,4314
OCR01458,6015
OCR01458,4659
OCR01458,4608
OCR00800,4381
OCR01549,4614
OCR02098,4508
OCR01178,4482
OCR01132,4547
OCR00388,4318
OCR00998,4555
OCR00506,4301
OCR03520,13849
OCR03520,14337
OCR00621,4445
OCR02225,10277
OCR01247,4636
OCR00603,4337
OCR01781,4794
OCR01495,4279
OCR01495,4694
OCR00873,4438
OCR01908,5186
OCR02575,4627
OCR03410,8640
OCR03410,14337
OCR02684,10671
OCR00733,4474
OCR01258,4484
OCR01258,4628
OCR03538,8640
OCR03538,14337
OCR02298,10671
OCR02298,10692
OCR01610,4747
OCR00269,4319
OCR03402,11143
OCR02372,10866
OCR01053,4528
OCR03274,4543
OCR02442,5425
OCR00845,4297
OCR00417,4335
OCR03514,15581
OCR03514,15060
OCR00492,4347
OCR01884,5041
OCR00511,4335
OCR02875,4331
OCR01180,4518
OCR01299,4313
OCR01432,4313
OCR02844,9047
OCR01678,4699
OCR03275,14499
OCR03275,13045
OCR03275,14461
OCR03275,4685
OCR00030,4279
OCR00841,4323
OCR00841,4291
OCR00069,36
OCR01595,4512
OCR01355,4613
OCR02136,6113
OCR02132,9511
OCR01648,4635
OCR01015,4313
OCR02809,4594
OCR01294,4558
OCR02414,4655
OCR02413,5409
OCR02413,4655
OCR03568,4655
OCR03345,15060
OCR00936,4537
OCR01765,4765
OCR02211,4279
OCR02444,11493
OCR00731,4455
OCR00734,4475
OCR00471,4376
OCR03228,4607
OCR01114,4412
OCR01114,4511
OCR01283,4331
OCR01283,4712
OCR01106,4510
OCR02743,5040
OCR00857,4514
OCR01359,4656
OCR01996,5655
OCR02816,11930
OCR03101,4703
OCR03481,4703
OCR03354,4703
OCR03086,4703
OCR03261,4703
OCR03119,4703
OCR03005,13147
OCR01383,4660
